Player Id,Tackles,wontackles,duels,wonduels,passes,wonpasses,interception,Last_Name,First_Name
3,28,0.642857143,170,0.394117647,1108,0.753610108,30,Giggs,Ryan
363,39,0.641025641,107,0.53271028,1137,0.930518909,24,Scholes,Paul
973,32,0.65625,104,0.625,297,0.713804714,23,Woodgate,Jonathan
1059,28,0.785714286,135,0.577777778,424,0.738207547,32,Gabbidon,Daniel
1131,12,0.916666667,58,0.620689655,232,0.780172414,14,Bramble,Titus
1195,8,0.75,131,0.396946565,348,0.75,7,Johnson,Andrew
1212,48,0.666666667,304,0.447368421,753,0.75564409,36,Wright-Phillips,Shaun
1216,29,0.862068966,119,0.605042017,489,0.709611452,25,Hill,Clint
1231,26,0.730769231,102,0.382352941,699,0.78397711,12,Bellamy,Craig
1256,29,0.793103448,129,0.542635659,895,0.72849162,20,Duff,Damien
1274,38,0.789473684,201,0.44278607,811,0.744759556,48,Dunn,David
1307,8,0.75,22,0.590909091,68,0.75,8,Gardner,Ricardo
1409,1,1,49,0.306122449,102,0.460784314,1,Wilbraham,Aaron
1411,107,0.710280374,319,0.529780564,1736,0.891129032,89,Parker,Scott
1420,67,0.611940299,190,0.594736842,950,0.803157895,42,Derry,Shaun
1587,46,0.760869565,118,0.694915254,552,0.69384058,49,Knight,Zat
1615,1,1,3,0.333333333,9,0.777777778,0,Blake,Robbie
1619,1,0,8,0.625,40,0.575,2,Henry,Thierry
1632,85,0.705882353,301,0.561461794,2211,0.858435097,72,Barry,Gareth
1640,23,0.826086957,80,0.6375,232,0.771551724,16,Upson,Matthew
1679,36,0.694444444,155,0.419354839,425,0.675294118,34,Delap,Rory
1710,2,0.5,28,0.392857143,220,0.781818182,0,Keane,Robbie
1718,56,0.678571429,197,0.670050761,1831,0.910431458,60,Terry,John
1764,65,0.8,232,0.629310345,935,0.740106952,57,Dunne,Richard
1765,24,0.708333333,255,0.533333333,570,0.624561404,15,Heskey,Emile
1809,23,0.739130435,66,0.712121212,789,0.804816223,14,Carragher,Jamie
1812,73,0.753424658,255,0.431372549,2256,0.807180851,57,Murphy,Danny
1814,24,0.708333333,101,0.485148515,1000,0.769,17,Gerrard,Steven
1821,34,0.823529412,141,0.496453901,1127,0.792369122,32,Neville,Philip
1841,38,0.789473684,152,0.605263158,536,0.725746269,35,Brown,Wes
1869,13,0.769230769,99,0.595959596,840,0.8,38,Hughes,Aaron
1930,83,0.686746988,226,0.530973451,839,0.706793802,29,Young,Luke
1934,16,0.8125,89,0.651685393,833,0.906362545,40,King,Ledley
1936,26,0.615384615,99,0.434343434,942,0.795116773,16,Gower,Mark
1940,10,0.6,29,0.620689655,173,0.693641618,9,Bridge,Wayne
1950,19,0.736842105,95,0.568421053,850,0.892941176,12,Monk,Garry
1989,1,1,8,0.625,34,0.735294118,1,Craddock,Jody
2004,46,0.782608696,137,0.605839416,708,0.761299435,40,Robinson,Paul
2019,4,0.25,39,0.487179487,215,0.702325581,6,Smith,Tommy
2034,42,0.80952381,132,0.674242424,1295,0.8996139,55,Ferdinand,Rio
2051,41,0.756097561,156,0.493589744,1625,0.838153846,35,Lampard,Frank
2160,59,0.728813559,238,0.542016807,1230,0.803252033,97,Petrov,Stilian
2399,2,1,11,0.363636364,18,0.444444444,0,Higginbotham,Danny
2404,90,0.677777778,188,0.675531915,2205,0.897505669,71,Carrick,Michael
2559,5,0.6,25,0.36,156,0.865384615,6,Davies,Simon
2562,17,0.705882353,61,0.590163934,444,0.72972973,16,Drury,Adam
2570,25,0.76,204,0.279411765,793,0.612862547,20,Etherington,Matthew
3118,3,1,60,0.166666667,87,0.655172414,1,Roberts,Jason
3119,1,1,11,0.636363636,1071,0.489262372,0,Kenny,Patrick
3273,44,0.840909091,350,0.377142857,922,0.765726681,39,Cahill,Tim
3296,37,0.810810811,177,0.519774011,827,0.713422007,34,Boyce,Emmerson
3332,40,0.725,135,0.659259259,855,0.730994152,18,Reid,Steven
3630,35,0.828571429,322,0.49378882,912,0.566885965,17,Kevin Davies,0
3658,27,0.851851852,217,0.483870968,710,0.592957746,30,Pennant,Jermaine
3731,9,0.777777778,203,0.522167488,401,0.566084788,5,Helguson,Heidar
3736,52,0.826923077,146,0.582191781,1032,0.71124031,59,O'Shea,John
3773,17,0.647058824,429,0.531468531,1149,0.588337685,13,Crouch,Peter
3785,80,0.725,269,0.516728625,1481,0.844024308,50,Cole,Ashley
3897,6,0.833333333,53,0.509433962,207,0.77294686,1,Anelka,Nicolas
4098,68,0.794117647,213,0.605633803,1498,0.775700935,64,John Arne Riise,0
4142,26,0.615384615,73,0.452054795,204,0.754901961,13,M�chel Salgado,0
4255,11,0.818181818,209,0.488038278,451,0.66518847,6,Bothroyd,Jay
4374,8,0.625,28,0.464285714,185,0.767567568,10,Lappin,Simon
4396,10,0.6,218,0.353211009,499,0.76753507,8,Saha,Louis
4445,5,0.6,32,0.3125,93,0.677419355,2,McFadden,James
4454,3,1,18,0.444444444,69,0.695652174,1,L�venkrands,Peter
4570,13,0.615384615,250,0.348,938,0.714285714,14,Zamora,Bobby
4611,37,0.675675676,203,0.403940887,1797,0.815804118,28,van der Vaart,Rafael
4719,43,0.651162791,272,0.400735294,1140,0.748245614,35,Kuyt,Dirk
4990,16,0.8125,76,0.605263158,618,0.867313916,40,Diarra,Mahamadou
5075,13,0.769230769,58,0.534482759,242,0.723140496,12,Donovan,Landon
5589,55,0.745454545,211,0.530805687,986,0.789046653,45,Whitehead,Dean
5692,1,1,8,0.25,16,0.1875,0,Hulse,Robert
5730,1,1,25,0.4,34,0.558823529,1,Agyemang,Patrick
5741,20,0.8,299,0.344481605,676,0.643491124,8,Holt,Grant
5750,20,0.8,78,0.538461538,1011,0.737883284,30,Shorey,Nicky
6219,42,0.80952381,160,0.66875,836,0.710526316,67,Distin,Sylvain
6240,9,0.888888889,219,0.383561644,355,0.676056338,5,Shola Ameobi,0
6254,17,0.882352941,72,0.625,677,0.929098966,29,Gallas,William
6286,4,0.75,37,0.405405405,132,0.53030303,0,Ciss�,Djibril
6298,12,0.583333333,28,0.607142857,228,0.859649123,11,Grygera,Zdenek
6769,5,0.8,12,0.666666667,46,0.869565217,4,Diao,Salif
7459,2,0.5,15,0.4,142,0.901408451,4,Pizarro,David
7525,29,0.724137931,186,0.47311828,766,0.800261097,24,Pienaar,Steven
7551,43,0.906976744,175,0.64,1420,0.874647887,54,Lescott,Joleon
7631,60,0.85,164,0.591463415,824,0.834951456,41,Vaughan,David
7635,27,0.777777778,150,0.38,495,0.670707071,21,Hunt,Stephen
7645,55,0.709090909,183,0.732240437,1256,0.741242038,63,Jagielka,Phil
7670,19,0.894736842,60,0.45,422,0.812796209,19,Andrews,Keith
7712,39,0.692307692,191,0.560209424,673,0.583952452,36,Ricketts,Sam
7933,68,0.735294118,238,0.554621849,1230,0.838211382,70,Coloccini,Fabricio
7958,18,0.722222222,108,0.444444444,302,0.798013245,5,Defoe,Jermain
8358,43,0.720930233,227,0.63876652,739,0.705006766,70,Johnson,Roger
8371,25,0.88,106,0.575471698,483,0.722567288,56,Givet,Ga�l
8378,35,0.685714286,258,0.391472868,1098,0.78870674,36,Osman,Leon
8380,41,0.829268293,240,0.608333333,967,0.675284385,73,Collins,James
8432,1,1,15,0.533333333,1232,0.696428571,0,Reina,Jos�
8442,21,0.666666667,94,0.478723404,678,0.902654867,12,Essien,Michael
8595,8,1,54,0.407407407,245,0.804081633,4,Berbatov,Dimitar
8597,40,0.75,203,0.532019704,1318,0.834597876,25,Rosicky,Tomas
8758,72,0.819444444,293,0.563139932,2413,0.876916701,56,Arteta,Mikel
9007,50,0.8,147,0.619047619,1166,0.710977702,62,Hibbert,Tony
9047,43,0.744186047,224,0.522321429,1154,0.802426343,43,Johnson,Glen
9089,1,1,12,0.75,1211,0.573905863,0,Foster,Ben
9110,14,0.642857143,78,0.525641026,404,0.797029703,7,Maloney,Shaun
9493,35,0.828571429,125,0.536,943,0.776246023,39,Kelly,Stephen
9765,22,0.636363636,155,0.367741935,510,0.7,14,Klasnic,Ivan
10089,11,0.545454545,133,0.353383459,1155,0.632034632,26,Petrov,Martin
10425,19,0.789473684,169,0.396449704,786,0.767175573,11,Malouda,Florent
10454,31,0.806451613,94,0.510638298,565,0.860176991,21,Etuhu,Dickson
10466,40,0.75,156,0.544871795,957,0.792058516,44,Heitinga,Johnny
10561,51,0.784313725,187,0.561497326,1444,0.856648199,60,Henry,Karl
10738,8,0.625,191,0.345549738,413,0.699757869,5,Bent,Darren
11078,15,0.533333333,70,0.542857143,508,0.769685039,18,Ward,Elliott
11248,2,0.5,18,0.555555556,60,0.616666667,4,Kyrgiakos,Sotirios
11278,61,0.868852459,230,0.508695652,1293,0.775715391,65,Bosingwa,Jos�
11378,32,0.71875,176,0.534090909,723,0.760719225,32,Williamson,Michael
11467,33,0.606060606,110,0.6,595,0.668907563,19,Jones,Billy
