magnitude,location,url
2.1500001,"3 km ENE of Pāhala, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72595567
1.71,"6km WNW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73596701
2.16000009,"1 km E of Pāhala, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72595557
1.2,"16 km WNW of Fishhook, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0219a7zdzd
1,"13 km SW of Walker, California",https://earthquake.usgs.gov/earthquakes/eventpage/nn00815387
1.62,"0 km NE of Union City, Oklahoma",https://earthquake.usgs.gov/earthquakes/eventpage/ok2021odxy
0.9,"2 km NE of Walker, California",https://earthquake.usgs.gov/earthquakes/eventpage/nn00815385
1.7,"23 km WSW of Karluk, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0219a7lg64
1.45,"4km NW of The Geysers, CA",https://earthquake.usgs.gov/earthquakes/eventpage/nc73596691
1,"64 km ESE of Denali National Park, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0219a7ked9
0.8,"5 km NNE of Yerington, Nevada",https://earthquake.usgs.gov/earthquakes/eventpage/nn00815384
2.04,"9 km SSE of Volcano, Hawaii",https://earthquake.usgs.gov/earthquakes/eventpage/hv72595487
1.1,"66 km WNW of Happy Valley, Alaska",https://earthquake.usgs.gov/earthquakes/eventpage/ak0219a7hdrg
0.38,"22km ESE of Little Lake, CA",https://earthquake.usgs.gov/earthquakes/eventpage/ci39748207
