schedtime,carrier,deptime,dest,distance,date,flightnumber,origin,weather,tailnu,delay
1455,OH,1455,JFK,184,01-01-2004,5935,BWI,0,N940CA,ontime
1640,DH,1640,JFK,213,01-01-2004,6155,DCA,0,N405FJ,ontime
1245,DH,1245,LGA,229,01-01-2004,7208,IAD,0,N695BR,ontime
1715,DH,1709,LGA,229,01-01-2004,7215,IAD,0,N662BR,ontime
1039,DH,1035,LGA,229,01-01-2004,7792,IAD,0,N698BR,ontime
840,DH,839,JFK,228,01-01-2004,7800,IAD,0,N687BR,ontime
1240,DH,1243,JFK,228,01-01-2004,7806,IAD,0,N321UE,ontime
1645,DH,1644,JFK,228,01-01-2004,7810,IAD,0,N301UE,ontime
1715,DH,1710,JFK,228,01-01-2004,7812,IAD,0,N328UE,ontime
2120,DH,2129,JFK,228,01-01-2004,7814,IAD,0,N685BR,ontime
2120,DH,2114,LGA,229,01-01-2004,7924,IAD,0,N645BR,ontime
1455,DL,1458,JFK,213,01-01-2004,746,DCA,0,N918DE,ontime
930,DL,932,LGA,214,01-01-2004,1746,DCA,0,N242DL,ontime
1230,DL,1228,LGA,214,01-01-2004,1752,DCA,0,N241DL,ontime
1430,DL,1429,LGA,214,01-01-2004,1756,DCA,0,N242DL,ontime
1730,DL,1728,LGA,214,01-01-2004,1762,DCA,0,N241DL,ontime
2030,DL,2029,LGA,214,01-01-2004,1768,DCA,0,N242DL,ontime
1530,MQ,1525,JFK,213,01-01-2004,4752,DCA,0,N709MQ,ontime
600,MQ,556,JFK,213,01-01-2004,4760,DCA,0,N717MQ,ontime
1830,MQ,1822,JFK,213,01-01-2004,4784,DCA,0,N707MQ,ontime
900,MQ,853,LGA,214,01-01-2004,4956,DCA,0,N737MQ,ontime
1300,MQ,1254,LGA,214,01-01-2004,4964,DCA,0,N717MQ,ontime
1400,MQ,1356,LGA,214,01-01-2004,4966,DCA,0,N726MQ,ontime
1500,MQ,1452,LGA,214,01-01-2004,4968,DCA,0,N724MQ,ontime
1900,MQ,1853,LGA,214,01-01-2004,4976,DCA,0,N724MQ,ontime
850,UA,841,LGA,229,01-01-2004,846,IAD,0,N513UA,ontime
900,US,858,LGA,214,01-01-2004,2164,DCA,0,N709UW,ontime
1100,US,1056,LGA,214,01-01-2004,2168,DCA,0,N748UW,ontime
1300,US,1253,LGA,214,01-01-2004,2172,DCA,0,N709UW,ontime
1500,US,1458,LGA,214,01-01-2004,2176,DCA,0,N748UW,ontime
1700,US,1655,LGA,214,01-01-2004,2180,DCA,0,N709UW,ontime
2100,US,2055,LGA,214,01-01-2004,2188,DCA,0,N709UW,ontime
1455,RU,1452,EWR,169,01-01-2004,2403,BWI,0,N14916,ontime
1720,RU,1710,EWR,169,01-01-2004,2675,BWI,0,N16954,ontime
1030,RU,1030,EWR,169,01-01-2004,2303,BWI,0,N26549,ontime
700,RU,656,EWR,169,01-01-2004,2703,BWI,0,N16954,ontime
1300,CO,1256,EWR,199,01-01-2004,808,DCA,0,N18611,ontime
1730,CO,1726,EWR,199,01-01-2004,814,DCA,0,N19357,ontime
840,DH,840,EWR,213,01-01-2004,7299,IAD,0,N691BR,ontime
1710,DH,1704,EWR,213,01-01-2004,7302,IAD,0,N691BR,ontime
1245,DH,1245,EWR,213,01-01-2004,7303,IAD,0,N697BR,ontime
2120,DH,2118,EWR,213,01-01-2004,7304,IAD,0,N699BR,ontime
1700,RU,1651,EWR,213,01-01-2004,2497,IAD,0,N12540,ontime
1900,RU,1850,EWR,213,01-01-2004,2385,IAD,0,N16149,ontime
1525,RU,1521,EWR,199,01-01-2004,2261,DCA,0,N12564,ontime
1900,RU,1855,EWR,199,01-01-2004,2336,DCA,0,N21537,ontime
1400,RU,1357,EWR,199,01-01-2004,2216,DCA,0,N15983,ontime
1515,RU,1508,EWR,213,01-01-2004,2156,IAD,0,N16149,ontime
1300,RU,1255,EWR,213,01-01-2004,2664,IAD,0,N12519,ontime
1630,RU,1625,EWR,199,01-01-2004,2181,DCA,0,N19966,ontime
1455,OH,1455,JFK,184,01-02-2004,5935,BWI,0,N995CA,ontime
1640,DH,1641,JFK,213,01-02-2004,6155,DCA,0,N415FJ,ontime
1245,DH,1249,LGA,229,01-02-2004,7208,IAD,0,N688BR,ontime
