Senator,Party Affiliation,Full Question,Comey,Comey Response
BURR,Republican,Do you have any doubt that Russia attempted to interfere in the 2016 elections?,COMEY,None.
BURR,Republican,Do you have any doubt that the Russian government was behind the intrusions in the D triple C systems and the subsequent leaks of that information?,COMEY,"No, no doubt."
BURR,Republican,Do you have any doubt the Russian government was behind the cyber intrusion in the state voter files?,COMEY,No.
BURR,Republican,Are you confident that no votes cast in the 2016 presidential election were altered?,COMEY,I'm confident. When I left as director I had seen no indication of that whatsoever.
BURR,Republican,"Director Comey, did the president at any time ask you to stop the FBI investigation into Russian involvement in the 2016 U.S. Elections?",COMEY,"Not to my understanding, no."
BURR,Republican,"Did any individual working for this administration, including the justice department, ask you to stop the Russian investigation?",COMEY,No.
BURR,Republican,"Director, when the president requested that you, and I quote ""Let Flynn go,"" General Flynn had an unreported contact with the Russians, which is an offense, and if press accounts are right, there might have been discrepancies between facts and his FBI testimony. In your estimation, was general Flynn at that time in serious legal jeopardy, and in addition to that, do you sense that the president was trying to obstruct justice or just seek for a way for Mike Flynn to save face, given that he had already been fired?",COMEY,"General Flynn at that point in time was in legal jeopardy. There was an open FBI criminal investigation of his statements in connection with the Russian contacts, and the contacts themselves, and so that was my assessment at the time. I don't think it's for me to say whether the conversation I had with the president was an effort to obstruct. I took it as a very disturbing thing, very concerning, but that's a conclusion I'm sure the special counsel will work towards to try and understand what the intention was there, and whether that's an offense."
BURR,Republican,"Director, is it possible that, as part of this FBI investigation, the FBI could find evidence of criminality that is not tied to the 2016 elections, possible collusion, or coordination with Russians?",COMEY,Sure.
BURR,Republican,So there could be something that fits a criminal aspect to this that doesn't have anything to do with the 2016 election cycle?,COMEY,"Correct, in any complex investigation, when you start turning over rocks, sometimes you find things that are unrelated to the primary investigation that are criminal in nature."
BURR,Republican,"Director, Comey, you have been criticized publicly for the decision to present your findings on the email investigation directly to the American people. Have you learned anything since that time that would have changed what you said or how you chose to inform the American people?",COMEY,"Honestly, no. It caused a whole lot of personal pain for me but as I look back, given what I knew at the time and even what I've learned since, I think it was the best way to try to protect the justice institution, including the FBI."
BURR,Republican,"In the public domain is this question of the Òsteel dossier,Ó a document that has been around out in for over a year. I'm not sure when the FBI first took possession of it, but the media had it before you had it and we had it. At the time of your departure from the FBI, was the FBI able to confirm any criminal allegations contained in the steel document?",COMEY,"Mr. Chairman, I don't think that's a question I can answer in an open setting because it goes into the details of the investigation."
BURR,Republican,"Director, the term we hear most often is collusion. When people are describing possible links between Americans and Russian government entities related to the interference in our election, would you say that it's Normal for foreign governments to reach out to members of an incoming administration?",COMEY,Yes.
BURR,Republican,At what point does the normal contact cross the line into an attempt to recruit agents or influence or spies?,COMEY,"Difficult to say in the abstract. It depends upon the context, whether there's an effort to keep it covert, what the nature of the request made of the American by the foreign government are. It's a judgment call based on a whole lot of facts."
BURR,Republican,At what point would that recruitment become a counterintelligence threat to our country?,COMEY,"Again, difficult to answer in the abstract, but when a foreign power is using especially coercion, or some sort of pressure to try and co-opt an American, especially a government official, to act on its behalf, that's a serious concern to the FBI and at the heart of the FBI's counterintelligence mission."
BURR,Republican,"So if you've got a 36-page document of specific claims that are out there, the FBI would have to for counter intelligence reasons, try to verify anything that might be claimed in there, one, and probably first and foremost, is the counterintelligence concerns that we have about blackmail. Would that be an accurate statement?",COMEY,"Yes. If the FBI receives a credible allegation that there is some effort to co-opt, coerce, direct, employee covertly an American on behalf of the foreign power, that's the basis on which a counterintelligence investigation is opened."
BURR,Republican,"And when you read the dossier, what was your reaction, given that it was 100% directed at the president-elect?",COMEY,"Not a question I can answer in open setting, Mr. Chairman."
BURR,Republican,Okay. When did you become aware of the cyber intrusion?,COMEY,The first cyber Ñ there was all kinds of cyber intrusions going on all the time. The first Russian-connected cyber intrusion I became aware of in the late summer of 2015.
BURR,Republican,"And in that time frame, there were more than the DNC and the D triple C that were targets?",COMEY,"Correct, a massive effort to target government and nongovernmental, near governmental agencies like nonprofits."
BURR,Republican,What would be the estimate of how many entities out there the Russians specifically targeted in that time frame?,COMEY,"It's hundreds. I suppose it could be more than 1,000, but it's at least hundreds."
BURR,Republican,When did you become aware that data had been exfiltrated?,COMEY,I'm not sure exactly. I think either late '15 or early '16.
BURR,Republican,"And did you, the director of the FBI, have conversations with the last administration about the risk that this posed?",COMEY,Yes.
BURR,Republican,"And share with us, if you will, what actions they took.",COMEY,"Well, the FBI had already undertaken an effort to notify all the victims, and that's what we consider the entities attacked as part of this massive spear-phishing campaign so we notified them in an effort to disrupt what might be ongoing, and then there was a series of continuing interactions with entities through the rest of '15 into '16, and then throughout '16, the administration was trying to decide how to respond to the intrusion activity that it saw."
BURR,Republican,"And the FBI in this case, unlike other cases that you might investigate, did you ever have access to the actual hardware that was hacked, or did you have to rely on a third party to provide you the day that that they had collected?",COMEY,"In the case of the DNC, and I believe the D triple C, but I'm sure the DNC, we did not have access to the devices themselves. We got relevant forensic information from a private party, a high class entity, that had done the work but we didn't get direct access."
BURR,Republican,But no content.,COMEY,Correct.
BURR,Republican,Isn't content an important part of the forensics from a counter-intelligence standpoint?,COMEY,It is but what was briefed to me by the people who were my folks at the time is that they had gotten the information from the private party that they needed to understand the intrusion by the spring of 2016.
BURR,Republican,"Let me go back if I can very briefly to the decision to publicly go out with your results on the email. Was your decision influenced by the attorney general's tarmac meeting with the former president, Bill Clinton?",COMEY,"Yes. In ultimately conclusive way that was the thing that capped it for me, that I had to do something separately to protect the credibility of the investigation, which meant both the FBI and the justice department."
BURR,Republican,"Were there other things that contributed to that, that you can describe in an open session?",COMEY,"There were other things that contributed to that. One significant item I can't but know the committee's been briefed on, there's been some public accounts of it which are nonsense but I understand the committee has been briefed on the classified facts. Probably the only other consideration that I guess I can talk about in open setting is that at one point the attorney general had directed me not to call it an investigation, but instead to call it a matter, which confused me and concerned me, but that was one of the bricks in the load that led me to conclude I have to step away from the department if we're to close this case credibly."
BURR,Republican,"Director, my last question, you're not only a seasoned prosecutor. You've led the FBI for years. You understand the investigative process. You've worked with this committee closely, and we're grateful to you, because I think we've mutually built trust in what your organization does, and what we do. Is there any doubt in your mind that this committee carry out its oversight role in the 2016 Russia involvement with the elections in parallel with the now special counsel set up?",COMEY,"No, no doubt. It can be done. Requires lots of conversations but Bob Mueller is one of the this countryÕs great, great pros and I'm sure you'll be able to work it out with him to run it in parallel."
