,sensor_id,time,incoming,outgoing,range,date,hour,minute,total,location_name
0,52,2021-06-17 07:07:11.937082+00:00,0,2,1min,2021-06-17,7,7,2,reitan_7eleven_carlberner
1,52,2021-06-17 07:07:51.166361+00:00,1,0,1min,2021-06-17,7,7,1,reitan_7eleven_carlberner
2,52,2021-06-17 07:09:48.861997+00:00,0,1,1min,2021-06-17,7,9,1,reitan_7eleven_carlberner
3,52,2021-06-17 07:10:40.197648+00:00,1,0,1min,2021-06-17,7,10,1,reitan_7eleven_carlberner
4,52,2021-06-17 07:11:49.664105+00:00,0,1,1min,2021-06-17,7,11,1,reitan_7eleven_carlberner
5,52,2021-06-17 07:14:20.731722+00:00,1,0,1min,2021-06-17,7,14,1,reitan_7eleven_carlberner
6,52,2021-06-17 07:16:27.575491+00:00,0,1,1min,2021-06-17,7,16,1,reitan_7eleven_carlberner
7,52,2021-06-17 07:17:21.919449+00:00,1,0,1min,2021-06-17,7,17,1,reitan_7eleven_carlberner
8,52,2021-06-17 07:17:52.122774+00:00,0,1,1min,2021-06-17,7,17,1,reitan_7eleven_carlberner
9,52,2021-06-17 07:19:58.885012+00:00,1,0,1min,2021-06-17,7,19,1,reitan_7eleven_carlberner
10,52,2021-06-17 07:21:38.474731+00:00,0,1,1min,2021-06-17,7,21,1,reitan_7eleven_carlberner
11,52,2021-06-17 07:22:02.633180+00:00,0,1,1min,2021-06-17,7,22,1,reitan_7eleven_carlberner
12,52,2021-06-17 07:22:20.713582+00:00,1,0,1min,2021-06-17,7,22,1,reitan_7eleven_carlberner
13,52,2021-06-17 07:24:39.540016+00:00,1,1,1min,2021-06-17,7,24,2,reitan_7eleven_carlberner
14,52,2021-06-17 07:33:24.498339+00:00,0,1,1min,2021-06-17,7,33,1,reitan_7eleven_carlberner
15,52,2021-06-17 07:33:57.739478+00:00,1,0,1min,2021-06-17,7,33,1,reitan_7eleven_carlberner
16,52,2021-06-17 07:35:07.140249+00:00,0,1,1min,2021-06-17,7,35,1,reitan_7eleven_carlberner
17,52,2021-06-17 07:35:22.262835+00:00,1,0,1min,2021-06-17,7,35,1,reitan_7eleven_carlberner
18,52,2021-06-17 07:36:01.535996+00:00,1,0,1min,2021-06-17,7,36,1,reitan_7eleven_carlberner
19,52,2021-06-17 07:37:23.036235+00:00,0,2,1min,2021-06-17,7,37,2,reitan_7eleven_carlberner
20,52,2021-06-17 07:38:29.424030+00:00,2,0,1min,2021-06-17,7,38,2,reitan_7eleven_carlberner
21,52,2021-06-17 07:40:12.165161+00:00,0,1,1min,2021-06-17,7,40,1,reitan_7eleven_carlberner
